# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-44.447724996277046,45.0,1.598094042513054,0.6257454025843611,0.0,0.0
 0.07662951221443566,0.01468020535555586,0.19157378053608917,2.5000000000000004,-44.447724996277046,45.18,1.598094042513054,0.6257454025843611,0.0,0.0
 0.10885757557643588,0.029624929400948623,0.46371771947717877,8.44431562282367,-43.09140415206763,45.36,1.5024963233301152,0.6655590329722816,42.08508680694206,1305.8521802636192
 0.13392467455649007,0.04483954613765445,0.6069556253323152,5.714179609260344,-41.79321734509402,45.54,1.4125028620923492,0.7079631672524145,51.78847412724455,387.0965414874471
 0.15534326712949023,0.060328826606160416,0.7231698542149513,5.425857394063015,-40.55075284729294,45.72,1.3279660494450476,0.7530312995711724,58.00869004657677,290.4119819326178
 0.17446716479990823,0.07609697898329586,0.824526079823496,5.299977408126831,-39.36159169712736,45.9,1.2486943094284082,0.8008365157504014,62.18194484511639,218.22197914157775
 0.19198717335304424,0.09214768683022968,0.9161358453823821,5.228865344502832,-38.22333416806088,46.08,1.1744652660583612,0.8514513190808218,64.96900532977953,159.07871712564165
 0.20831144505204763,0.10848414534918069,1.0007465460127305,5.183122542337613,-37.133620712604795,46.26,1.1050365107027704,0.9049474748703368,66.75418515134207,109.35739458878977
 0.2237043545170345,0.12510909557470767,1.0800394989227056,5.151264813863617,-36.090148154162065,46.44,1.0401542479129167,0.9613958718204664,67.78917012513091,67.23777438846382
 0.23834836393698658,0.14202485647859556,1.1551317961350527,5.127850922441759,-35.09068184840699,46.62,0.9795601084961894,1.0208663984236657,68.25086471150003,31.527881000955798
 0.2523753989659772,0.15923335500809047,1.2268094072574085,5.109961654349246,-34.133064470813,46.8,0.9229964098093647,1.0834278328412346,68.26940801208602,1.3219686517976106
 0.26588430123461765,0.1767361541075523,1.295649250501489,5.0958872804850515,-33.21522201495121,46.980000000000004,0.8702101227321436,1.1491477447542937,67.94352624731529,-24.123482300055297
 0.2789512350181768,0.19453447879541536,1.362088840631987,5.084558568291863,-32.335167513140895,47.160000000000004,0.8209557777390932,1.2180924077956956,67.34973302746832,-45.44242969946773
 0.2916362394376125,0.21262924038328118,1.4264686861394702,5.075271823227873,-31.491002920685663,47.34,0.7749975128830708,1.290326721539914,66.54823006303542,-63.185075694955486
 0.30398753851661287,0.23102105893347302,1.4890594448855647,5.0675445834285755,-30.68091953953685,47.52,0.7321104376112321,1.3659141416735594,65.58689705167276,-77.83254257012611
 0.31604448044958716,0.2497102840566237,1.5500800474154968,5.061034785532803,-29.90319729795138,47.7,0.6920814583357716,1.4449166177702135,64.50410443285732,-89.80657158629366
 0.32783960355812086,0.2686970141528646,1.6097102100192686,5.055493024962986,-29.15620315030018,47.88,0.6547096872896342,1.5273945374778215,63.33076312791942,-99.47681716768149
 0.3394001262225588,0.28798111419972205,1.6680993244516988,5.050733096354271,-28.438388815229192,48.06,0.6198065338984726,1.613406676612746,62.09185829280087,-107.16685318472918
 0.35074904543710006,0.3075622321875922,1.7253729291491486,5.046613128064702,-27.748288030918406,48.24,0.5871955592767827,1.7030101542859868,60.80762152457348,-113.15938936122718
 0.36190596253731766,0.3274398143001559,1.7816375199360404,5.043023111267391,-27.084513472581726,48.42,0.5567121582477368,1.7962603927090814,59.49444209133097,-117.70092234680995
 0.37288771443034124,0.3476131189327093,1.8369841924191501,5.0398764261164954,-26.44575344889225,48.6,0.5282031201549457,1.8932110808180287,58.16558504615867,-121.00592493047394
 0.38370886340375027,0.3680812296364947,1.8914914445852293,5.0371039434001625,-25.83076847030313,48.78,0.501526108404667,1.9939141417402115,56.831763438460456,-123.26062703469248
 0.3943820822866533,0.38884306707189137,1.9452273642260065,5.034649830601199,-25.238387762512914,48.96,0.4765490900154267,2.098419703136204,55.501598373394835,-124.62642054463609
 0.4049184609513448,0.4098974000480144,1.9982513580949979,5.032468512799383,-24.667505782006106,49.14,0.4531497388248384,2.2067760705177024,54.18199161917816,-125.24291278926826
 0.4153277528511483,0.4312428557209614,2.0506155345062367,5.030522432772523,-24.117078777327436,49.32,0.4312148303987681,2.3190297028403335,52.878429193542296,-125.23065336081865
 0.4256185752608871,0.4528779290177686,2.10236582028009,5.028780374722922,-23.586121428856032,49.5,0.41063964180315493,2.435225190653566,51.59522993700958,-124.69355756429643
 0.43579857335615146,0.47480099134814235,2.1535428715425935,5.027216192340018,-23.07370359109001,49.68000000000001,0.3913273660013386,2.555405235821354,50.335749866632725,-123.72105167315814
 0.44587455574915885,0.49701029866127444,2.2041828227632756,5.02580783148506,-22.578947154388096,49.86,0.3731885474935991,2.679610633059826,49.10255073939638,-122.38996448546486
 0.4558526072758789,0.5195039989005417,2.2543179075625885,5.024536570597687,-22.10102303753339,50.040000000000006,0.3561405436869049,2.807880253249497,47.897539471998094,-120.76619008945848
 0.46573818349140106,0.542280138904675,2.3039769769182095,5.02338642411629,-21.639148317972282,50.220000000000006,0.34010701487218625,2.9402510276825797,46.72208371990327,-118.90614431247339
 0.4755361903367745,0.5653366708000326,2.353185934570429,5.022343669361233,-21.192583503188246,50.400000000000006,0.32501744415612016,3.076757934013093,45.577107857901076,-116.85803858596366
 0.4852510516938424,0.5886714579249502,2.4019681050765382,5.021396468063709,-20.760629943899826,50.580000000000005,0.3108066879782584,3.2174339828554532,44.46317280422678,-114.66299031265793
